City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
30,Grand Gaube,MU,68.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
56,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Carballo,ES,69.22,scattered clouds,43.213,-8.691,Pazo do Souto
77,Ponta do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
106,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
117,San Cristobal,VE,71.31,overcast clouds,7.7669,-72.225,Pirineos
119,Den Helder,NL,71.02,clear sky,52.9599,4.7593,Hotel Den Helder
124,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
163,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
191,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
197,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
235,Kaduqli,SD,70.47,light rain,11.0167,29.7167,Nussyba
271,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
279,Fairbanks,US,70.09,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
288,Den Helder,NL,71.02,clear sky,52.9599,4.7593,Hotel Den Helder
294,Torit,SS,69.19,light rain,4.4133,32.5678,Diplomat Guest House
297,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
299,Nouadhibou,MR,71.6,clear sky,20.931,-17.0347,El Medina
318,Quatre Cocos,MU,68.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
334,Baft,IR,69.1,clear sky,29.234,56.6057,Paeez Hotel & restaurant
369,Nantucket,US,71.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
389,Kisangani,CD,71.55,overcast clouds,0.5167,25.2,Grand Ramela Hotel
422,Kaduqli,SD,70.47,light rain,11.0167,29.7167,Nussyba
433,Ponta do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
439,Puerto Baquerizo Moreno,EC,69.4,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
467,Gombe,NG,69.48,overcast clouds,10.2897,11.1673,Custodian Hotel Gombe
491,Sechura,PE,69.33,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
543,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
548,Khanbari,NP,70.68,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
555,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
558,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
567,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
573,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
576,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
588,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
604,Fort Nelson,CA,69.49,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
605,Praia da Vitória,PT,71.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
637,Aklavik,CA,68.88,few clouds,68.2191,-135.0107,Aklavik Inn
682,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
686,Aklavik,CA,68.88,few clouds,68.2191,-135.0107,Aklavik Inn
696,Bonaventure,CA,69.21,overcast clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
712,Arona,ES,70.7,few clouds,28.0996,-16.681,Paradise Court
734,Mahébourg,MU,68.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
748,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
749,Richards Bay,ZA,70.18,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
765,Arraial do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
