,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
1,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
2,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
3,Port Keats,AU,-14.25,129.55,74.79,44,0,10.92,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,68.22,78,94,16.71,light rain
5,Butaritari,KI,3.0707,172.7902,82.06,76,96,13.44,overcast clouds
6,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
7,Lebu,CL,-37.6167,-73.65,49.17,92,88,4.54,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
9,Glendive,US,47.1053,-104.7125,91.49,42,0,4.61,clear sky
10,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
11,Iqaluit,CA,63.7506,-68.5145,41.92,76,67,8.95,broken clouds
12,Bredy,RU,52.4153,60.3411,62.89,88,98,7.47,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
14,Nakamura,JP,32.9833,132.9333,82.35,80,86,1.39,overcast clouds
15,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
16,Luganville,VU,-15.5333,167.1667,77.07,60,61,11.43,broken clouds
17,Natá,PA,8.3333,-80.5167,75.83,94,100,6.58,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
19,Kimberley,ZA,-28.7323,24.7623,58.6,29,26,12.53,scattered clouds
20,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
21,San Quintín,MX,30.4833,-115.95,76.6,70,99,14.16,overcast clouds
22,Mount Isa,AU,-20.7333,139.5,65.97,34,88,6.91,overcast clouds
23,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
24,Provideniya,RU,64.3833,-173.3,50.36,93,100,8.99,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
26,Znamenskoye,RU,57.1281,73.8282,56.98,90,9,1.63,clear sky
27,Vredendal,ZA,-31.6683,18.5012,51.24,97,83,4.36,broken clouds
28,Arlit,NE,18.7369,7.3853,98.51,13,3,8.16,clear sky
29,Ilulissat,GL,69.2167,-51.1,41.02,87,75,1.14,broken clouds
30,Grand Gaube,MU,-20.0064,57.6608,68.38,66,80,8.01,broken clouds
31,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
32,Rochegda,RU,62.8,43.25,60.76,74,100,8.81,overcast clouds
33,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
34,Portobelo,PA,9.55,-79.65,77.95,88,100,7.4,overcast clouds
35,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
36,Severo-Kuril'sk,RU,50.6789,156.125,56.44,96,98,13.24,overcast clouds
37,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
38,Batticaloa,LK,7.7102,81.6924,79.12,76,100,4.76,overcast clouds
39,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
40,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
41,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
42,Worland,US,44.0169,-107.9554,94.68,21,0,13.8,clear sky
43,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
44,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,62.53,40,34,11.16,scattered clouds
46,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
47,Souillac,MU,-20.5167,57.5167,66.52,84,68,15.52,light rain
48,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
49,Saskylakh,RU,71.9167,114.0833,44.1,67,100,7.16,overcast clouds
50,Coruripe,BR,-10.1256,-36.1756,73.67,88,11,9.15,few clouds
51,Ilulissat,GL,69.2167,-51.1,41.02,87,75,1.14,broken clouds
52,Clyde River,CA,70.4692,-68.5914,52.9,62,80,8.66,broken clouds
53,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
54,George Town,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
55,Omboué,GA,-1.5746,9.2618,72.57,82,93,6.91,overcast clouds
56,Mahébourg,MU,-20.4081,57.7,68.25,79,87,17.09,light rain
57,Port Alfred,ZA,-33.5906,26.891,63.27,78,94,5.35,overcast clouds
58,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
59,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,100,75,4.47,broken clouds
60,Bandarbeyla,SO,9.4942,50.8122,76.62,77,100,26.96,overcast clouds
61,Sinnamary,GF,5.3833,-52.95,79.54,79,30,7.4,scattered clouds
62,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
63,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
64,Road Town,VG,18.4167,-64.6167,81.88,74,100,15.84,overcast clouds
65,Carballo,ES,43.213,-8.691,69.22,88,30,1.01,scattered clouds
66,Hobart,AU,-42.8794,147.3294,47.26,89,20,4.61,light rain
67,Yellowknife,CA,62.456,-114.3525,62.53,40,34,11.16,scattered clouds
68,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
69,Cockburn Town,TC,21.4612,-71.1419,81.91,76,11,18.72,few clouds
70,Bluff,NZ,-46.6,168.3333,44.8,76,99,9.42,overcast clouds
71,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
72,Laguna,US,38.421,-121.4238,98.35,23,0,5.75,clear sky
73,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
74,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
75,Lebu,CL,-37.6167,-73.65,49.17,92,88,4.54,overcast clouds
76,Ribeira Grande,PT,38.5167,-28.7,74.64,79,84,9.51,broken clouds
77,Ponta do Sol,PT,32.6667,-17.1,70.72,75,53,1.95,broken clouds
78,Cidreira,BR,-30.1811,-50.2056,59.34,86,1,9.66,clear sky
79,Esso,RU,55.9333,158.7,65.17,69,23,4.16,few clouds
80,Jalu,LY,29.0331,21.5482,82.2,46,0,12.03,clear sky
81,East London,ZA,-33.0153,27.9116,63.37,66,80,4.38,broken clouds
82,Maniitsoq,GL,65.4167,-52.9,43.14,85,99,7.07,overcast clouds
83,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
84,La Ronge,CA,55.1001,-105.2842,83.77,33,81,10.56,broken clouds
85,Olafsvik,IS,64.8945,-23.7142,49.46,85,26,10.42,scattered clouds
86,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
87,Faanui,PF,-16.4833,-151.75,78.4,75,10,14.52,clear sky
88,Bluff,NZ,-46.6,168.3333,44.8,76,99,9.42,overcast clouds
89,Hambantota,LK,6.1241,81.1185,78.39,85,100,18.23,light rain
90,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
91,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
92,Neuquén,AR,-38.9516,-68.0591,53.49,66,0,0.0,clear sky
93,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
94,Bowen,AU,-20.0167,148.2333,67.3,76,74,7.78,broken clouds
95,Tuatapere,NZ,-46.1333,167.6833,44.44,61,9,3.06,clear sky
96,Presidente Dutra,BR,-5.29,-44.49,83.16,40,6,3.65,clear sky
97,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
98,Ribeira Grande,PT,38.5167,-28.7,74.64,79,84,9.51,broken clouds
99,Lebu,CL,-37.6167,-73.65,49.17,92,88,4.54,overcast clouds
100,Yellowknife,CA,62.456,-114.3525,62.53,40,34,11.16,scattered clouds
101,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
102,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
103,Dikson,RU,73.5069,80.5464,43.79,92,100,18.81,overcast clouds
104,Constitución,CL,-35.3333,-72.4167,48.61,82,0,2.8,clear sky
105,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
106,Bambous Virieux,MU,-20.3428,57.7575,68.22,78,94,16.71,light rain
107,Port Macquarie,AU,-31.4333,152.9167,55.89,73,100,5.97,light rain
108,Sukhobezvodnoye,RU,57.0491,44.8891,55.06,77,20,4.16,few clouds
109,Waddān,LY,29.1614,16.139,82.9,26,0,10.78,clear sky
110,Bredasdorp,ZA,-34.5322,20.0403,53.1,86,100,3.98,overcast clouds
111,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
112,Hobart,AU,-42.8794,147.3294,47.26,89,20,4.61,light rain
113,Lompoc,US,34.6391,-120.4579,78.85,69,0,14.97,clear sky
114,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,14.18,light rain
